metrics	av_accuracy	av_time	accuracy	time
['1' 'equal' 'majority_class' 'minkowski']	0.9597319836233611	0.16961991786956787	"[0.94680851 0.96825397 0.93650794 0.96825397 0.94708995 0.98421053
 0.96296296 0.95238095 0.96276596 0.96808511]"	"[0.16347432 0.1757853  0.15711141 0.15639925 0.1629045  0.16557717
 0.1649518  0.16132426 0.15628624 0.23238492]"
['1' 'equal' 'majority_class' 'euclidean']	0.9597319836233611	0.16315734386444092	"[0.94680851 0.96825397 0.93650794 0.96825397 0.94708995 0.98421053
 0.96296296 0.95238095 0.96276596 0.96808511]"	"[0.16492248 0.16236281 0.16165757 0.16050172 0.1627717  0.163872
 0.16620994 0.16320848 0.15925956 0.16680717]"
['1' 'equal' 'majority_class' 'chebyshev']	0.9560254359302511	1.4039561986923217	"[0.93085106 0.96825397 0.93650794 0.96825397 0.93121693 0.97894737
 0.95767196 0.95238095 0.96276596 0.97340426]"	"[1.2445271  1.5207715  1.37064219 1.95410109 1.60394287 1.40930057
 1.26371861 1.23014808 1.2240231  1.21838689]"
['1' 'equal' 'inverse_distance' 'minkowski']	0.5143418830764855	0.16682276725769044	"[0.55319149 0.52910053 0.51322751 0.5026455  0.49206349 0.47894737
 0.50793651 0.53439153 0.54255319 0.4893617 ]"	"[0.15620637 0.15900159 0.15650034 0.1566422  0.16368103 0.15907669
 0.15554833 0.15537429 0.22788191 0.17831492]"
['1' 'equal' 'inverse_distance' 'euclidean']	0.5143418830764855	0.16286900043487548	"[0.55319149 0.52910053 0.51322751 0.5026455  0.49206349 0.47894737
 0.50793651 0.53439153 0.54255319 0.4893617 ]"	"[0.16065907 0.16931486 0.17644858 0.16459775 0.16047859 0.16109824
 0.15978456 0.15947628 0.15828633 0.15854573]"
['1' 'equal' 'inverse_distance' 'chebyshev']	0.5175221149801217	1.255226993560791	"[0.55851064 0.53439153 0.51851852 0.49206349 0.4973545  0.47894737
 0.50793651 0.55026455 0.54255319 0.49468085]"	"[1.20532489 1.31280971 1.24138236 1.22810006 1.23693395 1.24208927
 1.32453585 1.23954272 1.22078919 1.30076194]"
['1' 'equal' 'sheppard_work' 'minkowski']	0.5090088104421812	0.15833137035369874	"[0.5212766  0.50793651 0.51851852 0.4973545  0.4973545  0.50526316
 0.51851852 0.51322751 0.51595745 0.49468085]"	"[0.15547848 0.16045594 0.15772557 0.16252971 0.15989089 0.15790176
 0.15653872 0.15986538 0.1555984  0.15732884]"
['1' 'equal' 'sheppard_work' 'euclidean']	0.5090088104421812	0.1601797103881836	"[0.5212766  0.50793651 0.51851852 0.4973545  0.4973545  0.50526316
 0.51851852 0.51322751 0.51595745 0.49468085]"	"[0.16092086 0.15926552 0.15992093 0.16108537 0.16041374 0.16144919
 0.16190505 0.15996218 0.15831685 0.15855742]"
['1' 'equal' 'sheppard_work' 'chebyshev']	0.5095379109712816	1.2189470052719116	"[0.51595745 0.51322751 0.52910053 0.48677249 0.4973545  0.50526316
 0.51851852 0.51322751 0.51595745 0.5       ]"	"[1.21037459 1.22790837 1.22880673 1.2317965  1.22379231 1.21926332
 1.21436071 1.21077394 1.20379972 1.21859384]"
['1' 'mutual_info' 'majority_class' 'minkowski']	0.9549616061430172	0.1701134204864502	"[0.94148936 0.96825397 0.94179894 0.95238095 0.93121693 0.97894737
 0.95767196 0.96296296 0.96276596 0.95212766]"	"[0.15959764 0.25897622 0.16315293 0.15979218 0.16069055 0.16132092
 0.15984941 0.15964532 0.15902185 0.15908718]"
['1' 'mutual_info' 'majority_class' 'euclidean']	0.9549616061430173	0.16036612987518312	"[0.94680851 0.96825397 0.93650794 0.94708995 0.93650794 0.97894737
 0.95767196 0.96825397 0.95744681 0.95212766]"	"[0.1613822  0.15975881 0.15979695 0.15978527 0.15976405 0.16190076
 0.16121483 0.1622107  0.15894389 0.15890384]"
['1' 'mutual_info' 'majority_class' 'chebyshev']	0.9528563429851225	1.2189669847488402	"[0.94148936 0.96825397 0.93650794 0.95238095 0.93121693 0.95789474
 0.96296296 0.96296296 0.95212766 0.96276596]"	"[1.20621347 1.21948147 1.21052456 1.2142725  1.2150228  1.25438261
 1.21163249 1.22061563 1.22287416 1.21465015]"
['1' 'mutual_info' 'inverse_distance' 'minkowski']	0.512242307897403	0.16937971115112305	"[0.55851064 0.50793651 0.53968254 0.49206349 0.48148148 0.46842105
 0.5026455  0.52380952 0.52659574 0.5212766 ]"	"[0.1619637  0.16354799 0.16216302 0.16350579 0.1637485  0.16301227
 0.16187263 0.16222167 0.16096663 0.23079491]"
['1' 'mutual_info' 'inverse_distance' 'euclidean']	0.511144883485309	0.16214983463287352	"[0.5212766  0.49206349 0.53439153 0.5026455  0.4973545  0.5
 0.49206349 0.52910053 0.5212766  0.5212766 ]"	"[0.16059279 0.16294575 0.16144967 0.16253114 0.16561532 0.16261554
 0.16114807 0.1618793  0.16086149 0.16185927]"
['1' 'mutual_info' 'inverse_distance' 'chebyshev']	0.5048458913240548	1.2382020473480224	"[0.54255319 0.52380952 0.54497354 0.46560847 0.44973545 0.42105263
 0.51322751 0.55026455 0.51595745 0.5212766 ]"	"[1.32323432 1.22250366 1.2194612  1.21702695 1.21652365 1.31316519
 1.22260189 1.21617198 1.22813296 1.20319867]"
['1' 'mutual_info' 'sheppard_work' 'minkowski']	0.49844057543385656	0.1627490282058716	"[0.50531915 0.4973545  0.50793651 0.51322751 0.48148148 0.45263158
 0.51322751 0.51322751 0.5        0.5       ]"	"[0.16336083 0.16478443 0.16105199 0.16099429 0.16051149 0.16142774
 0.1614511  0.16686845 0.16746926 0.15957069]"
['1' 'mutual_info' 'sheppard_work' 'euclidean']	0.4984266813606119	0.16186065673828126	"[0.5        0.49206349 0.50793651 0.48677249 0.49206349 0.48421053
 0.51322751 0.4973545  0.50531915 0.50531915]"	"[0.16046524 0.16348362 0.16340685 0.16185212 0.16032624 0.16480637
 0.1607306  0.16192293 0.16157198 0.16004062]"
['1' 'mutual_info' 'sheppard_work' 'chebyshev']	0.5015817024831583	1.2210552930831908	"[0.5        0.49206349 0.50793651 0.4973545  0.48677249 0.50526316
 0.52380952 0.50793651 0.5        0.49468085]"	"[1.21568847 1.21392846 1.22654176 1.21997976 1.21932578 1.22948861
 1.24358153 1.22262025 1.21008921 1.2093091 ]"
['1' 'relief' 'majority_class' 'minkowski']	0.9517981123020318	0.1604562520980835	"[0.94680851 0.96296296 0.94179894 0.95767196 0.94179894 0.95263158
 0.95767196 0.95238095 0.95744681 0.94680851]"	"[0.15938568 0.16361022 0.1599822  0.16079497 0.16033626 0.16046834
 0.16002059 0.15977407 0.15936065 0.16082954]"
['1' 'relief' 'majority_class' 'euclidean']	0.9517981123020318	0.17032237052917482	"[0.94680851 0.96296296 0.94179894 0.95767196 0.94179894 0.95263158
 0.95767196 0.95238095 0.95744681 0.94680851]"	"[0.16037273 0.16135907 0.16295433 0.16478419 0.1613555  0.16177034
 0.17932153 0.22930574 0.16105986 0.16094041]"
['1' 'relief' 'majority_class' 'chebyshev']	0.9517981123020318	1.2500160217285157	"[0.94680851 0.96296296 0.94179894 0.95767196 0.94179894 0.95263158
 0.95767196 0.95238095 0.95744681 0.94680851]"	"[1.33017945 1.23779607 1.23024297 1.23584151 1.22751331 1.32490516
 1.22881365 1.23314786 1.22600698 1.22571325]"
['1' 'relief' 'inverse_distance' 'minkowski']	0.5021501744906001	0.16091275215148926	"[0.51595745 0.46560847 0.53439153 0.48148148 0.44444444 0.5
 0.51322751 0.51851852 0.5106383  0.53723404]"	"[0.16184878 0.16035175 0.1602006  0.16048384 0.16046786 0.16139746
 0.16145515 0.16299629 0.15954638 0.16037941]"
['1' 'relief' 'inverse_distance' 'euclidean']	0.5021501744906001	0.16052258014678955	"[0.51595745 0.46560847 0.53439153 0.48148148 0.44444444 0.5
 0.51322751 0.51851852 0.5106383  0.53723404]"	"[0.15963912 0.16003442 0.16056347 0.15991116 0.16142917 0.16115284
 0.1615591  0.16014147 0.1590004  0.16179466]"
['1' 'relief' 'inverse_distance' 'chebyshev']	0.5021501744906001	1.2559619426727295	"[0.51595745 0.46560847 0.53439153 0.48148148 0.44444444 0.5
 0.51322751 0.51851852 0.5106383  0.53723404]"	"[1.21283007 1.21461415 1.22735786 1.2368722  1.31930518 1.32107258
 1.36849451 1.21943593 1.20717406 1.23246288]"
['1' 'relief' 'sheppard_work' 'minkowski']	0.4952465087067551	0.1625751256942749	"[0.51595745 0.48148148 0.5026455  0.49206349 0.44444444 0.49473684
 0.51322751 0.51322751 0.4893617  0.50531915]"	"[0.16632509 0.16025186 0.16115022 0.16913939 0.16269612 0.16281557
 0.15980196 0.16024065 0.15984011 0.1634903 ]"
['1' 'relief' 'sheppard_work' 'euclidean']	0.4952465087067551	0.16101341247558593	"[0.51595745 0.48148148 0.5026455  0.49206349 0.44444444 0.49473684
 0.51322751 0.51322751 0.4893617  0.50531915]"	"[0.1591773  0.1607585  0.16266823 0.16067767 0.16034603 0.16127229
 0.16319466 0.16078615 0.16009998 0.16115332]"
['1' 'relief' 'sheppard_work' 'chebyshev']	0.4952465087067551	1.2530033349990846	"[0.51595745 0.48148148 0.5026455  0.49206349 0.44444444 0.49473684
 0.51322751 0.51322751 0.4893617  0.50531915]"	"[1.22101355 1.31361961 1.25043845 1.31728196 1.23190212 1.24561548
 1.30895686 1.20824051 1.2205596  1.2124052 ]"
['3' 'equal' 'majority_class' 'minkowski']	0.9634609573579338	0.15747501850128173	"[0.96276596 0.96296296 0.92063492 0.96825397 0.94179894 0.97368421
 0.97354497 0.97883598 0.9787234  0.97340426]"	"[0.15575337 0.15698171 0.16150379 0.15712452 0.1574769  0.15850687
 0.1584084  0.15597606 0.15575171 0.15726686]"
['3' 'equal' 'majority_class' 'euclidean']	0.9650482589452356	0.16003739833831787	"[0.96276596 0.96296296 0.93121693 0.96825397 0.94179894 0.97368421
 0.97354497 0.98412698 0.9787234  0.97340426]"	"[0.16061401 0.16059351 0.15888214 0.15830374 0.15909243 0.16011119
 0.16331697 0.15971017 0.15854478 0.16120505]"
['3' 'equal' 'majority_class' 'chebyshev']	0.9655717603701927	1.2299602031707764	"[0.95744681 0.96296296 0.94179894 0.97354497 0.95238095 0.97894737
 0.96296296 0.97354497 0.9787234  0.97340426]"	"[1.22539139 1.22804403 1.22075701 1.22050333 1.22866058 1.32545853
 1.21111584 1.21814227 1.20879841 1.21273065]"
