model	accuracy	time	accuracy/time
1-mutual_info-majority_class-minkowski	0.9605032290000001	0.7652948860000001	1.2550759799536932
3-mutual_info-majority_class-minkowski	0.963683421	0.772063612	1.2481917370818922
7-mutual_info-majority_class-minkowski	0.9628869659999999	0.867291642	1.1102228124550517
5-mutual_info-majority_class-minkowski	0.95944358	0.9156849140000001	1.0477879075334422
1-mutual_info-inverse_distance-minkowski	0.677586956	0.767725849	0.882589738098033
3-mutual_info-sheppard_work-minkowski	0.663021891	0.757850218	0.8748719407243082
1-mutual_info-sheppard_work-minkowski	0.6561211419999999	0.764378383	0.8583721839763225
3-mutual_info-inverse_distance-minkowski	0.6481078789999999	0.75606842	0.857207974643353
7-mutual_info-sheppard_work-minkowski	0.617356734	0.7615620620000001	0.8106453364794843
7-mutual_info-inverse_distance-minkowski	0.598886907	0.7588642600000001	0.7891884472197965
5-mutual_info-inverse_distance-minkowski	0.608916507	0.7865929620000001	0.7741189362434188
5-mutual_info-sheppard_work-minkowski	0.633340317	0.893289113	0.708998137090248
1-equal-inverse_distance-minkowski	0.517997657	0.748994922	0.6915903456552407
1-relief-inverse_distance-minkowski	0.517911041	0.761875915	0.6797839789961072
3-equal-inverse_distance-minkowski	0.440260773	0.767132927	0.5739041533801872
5-relief-inverse_distance-minkowski	0.42065454	0.783208059	0.5370916899617858
3-relief-inverse_distance-minkowski	0.44905446099999996	0.8504238120000001	0.5280360858475115
7-relief-inverse_distance-minkowski	0.382208848	0.767305351	0.49811831430848447
7-equal-inverse_distance-minkowski	0.385663482	0.774336838	0.49805648275253567
5-equal-inverse_distance-minkowski	0.416977619	0.8422727350000001	0.4950624680971063
