metrics	av_accuracy	av_time	accuracy	time
['1' 'equal' 'majority_class' 'minkowski']	0.9226070950950629	0.7857049465179443	"[0.928      0.91005291 0.9204244  0.92838196 0.92328042 0.91005291
 0.91269841 0.92063492 0.92307692 0.94946809]"	"[0.7457366  0.76015067 0.7464695  0.74520373 0.78214669 0.78397059
 0.74968195 0.76215029 1.02058887 0.76095057]"
['1' 'equal' 'majority_class' 'euclidean']	0.9149189416436666	0.79730064868927	"[0.91733333 0.88624339 0.9071618  0.91511936 0.91269841 0.91269841
 0.90740741 0.91269841 0.93633952 0.94148936]"	"[0.75484967 0.76523924 0.76072741 0.77512646 0.77688956 0.89177656
 0.805444   0.89676857 0.77755404 0.76863098]"
['1' 'equal' 'majority_class' 'chebyshev']	0.9072315235999021	9.608236980438232	"[0.91466667 0.88624339 0.90185676 0.89920424 0.91269841 0.9047619
 0.89417989 0.9021164  0.92307692 0.93351064]"	"[10.70944762  9.76460576  9.61770368 10.1978035   9.58171082  9.12208533
  9.7023983   9.17891932  9.17911196  9.02858353]"
['1' 'equal' 'inverse_distance' 'minkowski']	0.5179976571348546	0.7489949226379394	"[0.45333333 0.54232804 0.55172414 0.48806366 0.57407407 0.50529101
 0.54232804 0.4021164  0.61007958 0.5106383 ]"	"[0.78405833 0.74439549 0.74496889 0.74265671 0.74645376 0.74557686
 0.74778533 0.74566317 0.74604249 0.74234819]"
['1' 'equal' 'inverse_distance' 'euclidean']	0.4972825867130342	0.7477023363113403	"[0.44266667 0.51587302 0.47480106 0.50928382 0.55820106 0.53174603
 0.50529101 0.45238095 0.54907162 0.43351064]"	"[0.74190164 0.75122404 0.7452898  0.74547076 0.75135088 0.7515645
 0.74521995 0.74867082 0.74914718 0.7471838 ]"
['1' 'equal' 'inverse_distance' 'chebyshev']	0.5063005873884817	9.48024649620056	"[0.47733333 0.51851852 0.46153846 0.54376658 0.55820106 0.5026455
 0.56349206 0.48412698 0.52785146 0.42553191]"	"[9.80751204 9.58197832 9.3886075  9.35998559 9.36679053 9.43591022
 9.38835144 9.96606731 9.28463578 9.22262621]"
['1' 'equal' 'sheppard_work' 'minkowski']	0.5179976571348546	0.7629130601882934	"[0.45333333 0.54232804 0.55172414 0.48806366 0.57407407 0.50529101
 0.54232804 0.4021164  0.61007958 0.5106383 ]"	"[0.75895786 0.76338124 0.76635361 0.76318097 0.76283407 0.76089478
 0.76751184 0.76148391 0.76176381 0.76276851]"
['1' 'equal' 'sheppard_work' 'euclidean']	0.4972825867130342	0.7646569967269897	"[0.44266667 0.51587302 0.47480106 0.50928382 0.55820106 0.53174603
 0.50529101 0.45238095 0.54907162 0.43351064]"	"[0.76044869 0.76569963 0.7663331  0.7666595  0.76347256 0.76617599
 0.76772308 0.7682271  0.76331496 0.75851536]"
['1' 'equal' 'sheppard_work' 'chebyshev']	0.506565137653032	9.318351817131042	"[0.47733333 0.51851852 0.46153846 0.54376658 0.55820106 0.5026455
 0.56613757 0.48412698 0.52785146 0.42553191]"	"[9.15287423 9.26651168 9.30364776 9.35216212 9.30537391 9.3612771
 9.36499763 9.37752342 9.38203692 9.3171134 ]"
['1' 'mutual_info' 'majority_class' 'minkowski']	0.9605032304126949	0.765294885635376	"[0.968      0.96031746 0.9469496  0.95490716 0.97089947 0.96296296
 0.94444444 0.96296296 0.97082228 0.96276596]"	"[0.75918198 0.76908445 0.76331711 0.76265264 0.77460313 0.76557827
 0.76557255 0.76655507 0.76816344 0.75824022]"
